bedrooms,bathrooms,livingArea,zestimate,homeStatus,homeType,distance,19455%20East%20Clausen%20Road%20Turlock%20CA,1301%20New%20Savannah%20Road%20Augusta%20GA,One%20South%20Street%20Peoria%20IL,1801%20Maury%20Street%20Des%20Moines%20IA,1330%20Lime%20Kiln%20Road%20Green%20Bay%20WI
6,5,4314,789200,1,0,0.35441058361764516,1,0,0,0,0
3,1,918,788600,0,0,0.3240169312429018,1,0,0,0,0
2,2,1470,697100,0,0,0.34142247422911715,1,0,0,0,0
4,3,1648,647200,0,0,0.3744190344892866,1,0,0,0,0
7,3,2704,588900,0,0,0.42481993518594097,1,0,0,0,0
3,2,2061,571600,0,0,0.6100434742966797,1,0,0,0,0
3,1,1542,1753700,0,0,0.5854265947309113,1,0,0,0,0
3,2,1400,466700,0,0,0.5780823427755948,1,0,0,0,0
4,,1641,393800,1,0,0.23879190828155863,1,0,0,0,0
4,2.5,2394,690400,0,0,4.181649805694104,1,0,0,0,0
3,,2496,725200,0,0,4.262145594418356,1,0,0,0,0
4,3,2315,762700,1,0,4.364254231765029,1,0,0,0,0
3,0,1278,29800,0,0,0.6105531978012692,0,1,0,0,0
4,2,1476,,0,0,0.6027584123515112,0,1,0,0,0
3,2,1504,117500,0,0,2.815900708336547,0,1,0,0,0
3,1.5,1500,108400,0,0,2.9949702865126824,0,1,0,0,0
3,1,1067,,0,1,0.48581300410405315,0,1,0,0,0
3,1,1694,,0,0,0.9459826392166553,0,1,0,0,0
4,2,1760,185700,0,0,1.495844781902644,0,1,0,0,0
2,1,1118,,0,0,2.5254238196867194,0,1,0,0,0
3,1,1096,157800,0,0,2.533438190155911,0,1,0,0,0
2,1,1127,,0,0,2.1915354096492865,0,1,0,0,0
3,1,936,,0,0,0.2811563957993454,0,0,1,0,0
4,1,1267,,0,0,0.31829018982266233,0,0,1,0,0
3,1,1184,,0,0,0.4131531041923726,0,0,1,0,0
4,3,2506,218200,0,0,1.2767236888810958,0,0,1,0,0
4,2,3204,119600,0,1,1.4142475263600984,0,0,1,0,0
4,5,4628,276100,0,0,1.3834773808905598,0,0,1,0,0
3,1,1292,,0,0,0.2535811828877909,0,0,1,0,0
2,1,688,,0,1,0.39483272354408283,0,0,1,0,0
3,1,936,,0,0,0.2811563957993454,0,0,1,0,0
3,1,1536,,0,0,0.7716048263275909,0,0,1,0,0
4,4,2054,179400,0,0,1.9134390968151382,0,0,1,0,0
4,2,2560,,0,0,2.4273617525726077,0,0,1,0,0
2,1,856,122600,0,0,0.6873436757634727,0,0,0,1,0
4,1.5,1992,133900,0,0,0.7323032933862643,0,0,0,1,0
2,1,921,79600,0,0,0.7419507917063259,0,0,0,1,0
3,1,124,,0,0,0.7876233246174016,0,0,0,1,0
2,2.5,1260,103600,0,0,1.006098504549514,0,0,0,1,0
2,1,764,139400,0,0,1.175468596810412,0,0,0,1,0
2,1,938,90700,0,0,1.6353973031169882,0,0,0,1,0
3,2,910,185400,0,0,1.7480923198640081,0,0,0,1,0
2,1,905,130500,0,0,1.1622849797909554,0,0,0,1,0
3,2,1100,198900,0,0,1.0312022298381613,0,0,0,1,0
3,2,1092,163300,0,0,2.1297691038950743,0,0,0,1,0
2,1,840,112300,0,0,2.5417493773885997,0,0,0,1,0
3,1.5,876,147100,0,0,2.7862867863458796,0,0,0,1,0
4,1,1296,197400,0,0,0.8387703701014617,0,0,0,0,1
3,2,1816,251600,0,0,0.9479086160250109,0,0,0,0,1
3,1.5,1302,198600,0,0,0.43055592024533074,0,0,0,0,1
3,1,1176,163500,0,0,0.9037459380502126,0,0,0,0,1
3,1.5,1322,205800,0,0,0.21498287933807192,0,0,0,0,1
3,2,2030,229900,0,0,0.28636359434027137,0,0,0,0,1
3,1,1210,134900,0,0,1.9898583751670862,0,0,0,0,1
,0,2373,142000,0,1,2.712403428988938,0,0,0,0,1
