Approved Establishment,Street Address,City,State,ZIP,Approved Animals,Federal Establishment Number,Country of Origin
Alaska Meat Packers Inc. (Alaska Meat),385 East Outer Springer Loop Road,Palmer,AK,99645,Cattle Sheep Swine,M20891,Canada
"Cargill Beef Packers, Inc. ",3115 South Fig Avenue,Fresno,CA,93706,Cattle  ,M354,Canada
Clausen Meat Packing Inc. (Chosen Meat Pkg. Co.),19455 East Clausen Road,Turlock,CA,95381,Swine,M325,Canada
"Yosemite Foods 
",4221 East Mariposa Road,Stockton,CA,95215,Swine,M548,Canada
Brush Meat Processors,1300 South Railway Street,Brush,CO,80723,Cattle Bison,M44999,Canada
Double J. Meat Packing Inc. ,726 West Main Street,Pierce,CO,80605,Cattle Bison Yak,M322,Canada
Florida Beef Inc.,571 W Kings Highway,Center Hill,FL,33514,Cattle,M96,Canada
FPL Foods LLC,1301 New Savannah Road,Augusta,GA,30901,Cattle,M332,Canada
Independent Meat Co,2072 Orchard Drive East,Twin Falls,ID,83301,Swine,M226,Canada
Ida Beef,729 South 600 West,Burley,ID,83318,Cattle,M45948,Canada
CS Beef Packers ,17365 South Cole Road,Kuna,ID,83634,Cattle,M630,Canada
Calihan Pork Processors ,One South Street,Peoria,IL,61602,Swine,M6775,Canada
Momence Packing Company  (Johnsonville Sausage),334 West North Street,Momence,IL,60954,Swine,M1647,Canada
"Peoria Packing, Inc.",8372 North 12000 East Road,Grant Park,IL,60940,Swine,M21651,Canada
Rantoul Foods,205 Turner Drive,Rantoul,IL,61866,Swine,M35,Canada
"Pork King Packing, Inc.",8808 South Route 23,Marengo,IL,60152,Swine,M2926,Canada
Swift Pork Company,8295 Arenzville Road,Beardstown,IL,62618,Swine,M85B,Canada
Ruwaldt Packing Company,6510 East Ridge Road,Hobart,IN,46342,Swine,M5502,Canada
Tyson Fresh Meats,2125 South Country Road 125 West,Logansport,IN,46947,Swine,M244I,Canada
Tri-Eagle Provisions ,7921 North 700 East,Tippecanoe,IN,46570,Swine,M17496,Canada
Farmers Union Industries LLC (Redwood Farms Meat Processing),2421 9th Avenue,Estherville,IA,51334,Swine,M21898,Canada
Swift Pork Company,402 North 10th Avenue,Marshalltown,IA,50158,Swine,M3S,Canada
Prestage Foods (Boone Valley Farms),3183 Highway 17,Eagle Grove,IA,50533,Swine,M51340,Canada
Lynch BBQ Company,2486 171st Avenue,Decorah,IA,52101,Swine,M19717,Canada
Sioux-Preme Packing Co. (Perdue Meat Company),4241 US 75,Sioux Center,IA,51250,Swine,M5537,Canada
Tyson Fresh Meats,1009 Richland Street,Storm Lake,IA,50588,Swine,M244,Canada
Kansas City Sausage Co.,1801 Maury Street,Des Moines,IA,50317,Swine,M1775,Canada
Verschoor Meats ,1401 Bluff Road,Sioux City,IA,51106,Swine,M363,Canada
"Banner Creek, LLC (Johnsonville Sausage) ",619 East 4th Street,Holton,KS,66436,Swine,M5536,Canada
F.B. Purnell Sausage Company,6931 Shelbyville Road,Simpsonville,KY,40067,Swine,M7464,Canada
JBS Swift and Company (Swift Premium),1200 Story Avenue,Louisville,KY,40206,Swine,M955,Canada
Adams Farm Slaughterhouse,854 Bearsden Road,Athol,MA,1331,Cattle Swine Bison,M5497,Canada
BEF Foods Inc.  (Bob Evans Farm Inc.),200 North Wolcott Street,Hillsdale,MI,49242,Swine,M952,Canada
Clemens Food Group,572 Newton Road,Coldwater,MI,49036,Swine,M791C,Canada
"JBS Plainwell, Inc.",11 Eleventh Street,Plainwell,MI,49080,Cattle,M562M,Canada
"Weltin Meat Packing, Inc. ",8678 Fifth Street,Minden City,MI,48456,Cattle Swine,M10061,Canada
Swift Pork Company (Armour Food Company),1700 Highway 60 NE,Worthington,MN,56187,Swine,M3W,Canada
Long Prairie Packing (American Foods Group),10 Riverside Drive,Long Prairie,MN,56347,Cattle,M253,Canada
Hylife Foods Windom LLC,2850 60 E,Windom,MN,56101,Swine,M45856,Canada
Lorentz Meats,705 Cannon Industrial Blvd,Cannon Falls,MN,55009,Cattle Bison,M21207,Canada
Eastern Montana Meats,12314 County Road 351,Sidney,MT,59270,Cattle,M47277,Canada
White's Wholesale Meats,33663 Terrace Lake Road,Ronan,MT,59864,Cattle Bison Elk,M7717,Canada
Gibbon Packing LLC (American Foods Group),218 East Highway 30,Gibbon,NE,68840,Cattle,M5511,Canada
Tyson Fresh Meats (Madison Processed Meats),1200 Industrial Parkway,Madison,NE,68748,Swine,M244M,Canada
American Halal Meat,270 Raymond Blvd,Newark,NJ,7105,Cattle Goat Sheep,M20403,Canada
"Bierig Brothers, Inc.",3539 Reilly Court,Vineland,NJ,7059,Cattle (veal),M5430,Canada
"Dealaman Enterprises, Inc.",214 Mountainview Road,Warren,NJ,7524,Swine,M7562,Canada
ENA Meat Packing (Senat Poultry LLC),2-8 Warren Street,Patterson,NJ,7524,Cattle Goat Sheep,M17778,Canada
Champlain Beef,9679 State Route 4,Whitehall,NY,12887,Cattle,M8547,Canada
Gold Medal Packing,8269 Old River Road,Rome,NY,13440,Cattle Swine Sheep,M17965,Canada
"Parks Family Meats, LLC",1618 Highway 24 & 50,"Warsaw, NC",NC,28398,Swine,M18296A,Canada
The Pork Company,892 Penny Branch Road,"Warsaw, NC",NC,28598,Swine,M20608,Canada
North American Bison Coop.,1658 Highway 281,New Rockford,ND,58356,Cattle Bison Elk,M18859,Canada
Bob Evans Farms Inc.,640 Birch Road,Xenia,OH,45385,Swine,M6785,Canada
J.H. Routh Packing Co. ,4413 West Bogart Road,Sandusky,OH,44870,Swine,M818,Canada
Ohio Farms Packing,2416 E. West Salem Road,Creston,OH,44217,Cattle,M34569,Canada
Pioneer Packing Co. Inc,510 Napoleon Road,Bowling Green,OH,43402,Swine,M372,Canada
Carlton Packing Co.,10600 NW Westside Road,Carlton,OR,97111,Swine,M9228,Canada
Masami Foods Inc. ,5222 Tingley Lane,Klamath Falls,OR,97603,Cattle Swine,M6173,Canada
Cargill Wyalusing (Cargill Regional Beef),1252 Route 706,Wyalusing ,PA,18853,Cattle,M9400,Canada
Clemens Food Group LLC (Hatfield Quality Meats),2700 Clemens Road,Hatfield,PA,19440,Swine,M791,Canada
Herfurth Brothers Inc.,1220 Interchange Road,Gilbert,PA,18331,Swine,M9465,Canada
Leidy's Premium Meats (ALL Holding Company LLC),266 West Cherry Lane,Souderton ,PA,18964,Swine,M9520,Canada
JBS Souderton,249 Allentown Road,Souderton,PA,18964,Cattle,M1311,Canada
"Nicholas Meat, LLC",508 East Valley Road,Loganton,PA,17747,Cattle,M4465,Canada
P & N Packing Inc.,11627 Route 187,Wyalusing ,PA,18853,Cattle,M4763,Canada
USA Pork Packers Inc.,328 South Wyoming Street,Hazelton,PA,18201,Swine,M20760,Canada
Brown Packing,116 Willis Street,Gaffney,SC,29341,Cattle,M1085,Canada
New Angus LLC dba Demkota Ranch Beef,13-135th Street,Aberdeen,SD,57401,Cattle,M45471,Canada
Tyson Foods,2000 Biffle Road,Newbern,TN,38059,Swine,M8080,Canada
Southeastern Provision,1617 Helton Road,Bean Station,TN,37708,Cattle,M8327,Canada
"Swaggerty Sausage Co., Inc. (Smoky Farms)",2827 Swaggerty Road,Kodak,TN,37764,Swine,M8314,Canada
Wampler's Farm Sausage ,781 Highway 70W,Lenoir City,TN,37771,Swine,M9065,Canada
"James Meat Company (JMC Meats, Goolsby Sausage)",1644 Clemmons Road,Cookeville,TN,38501,Swine,M8066,Canada
J.B.S. Swift & Co.,410 North 200 West,Hyrum,UT,84319,Cattle,M628,Canada
"Williams Sausage Co. (Grogan's Farm, Williams Country Sausage)",5132 Old Troy-Hickman Road,Union City,TN,38261,Swine,M7455,Canada
Tyson Fresh Meats,13983 Dodd Road,Wallula,WA,99363,Cattle,M9268,Canada
"Walt's Wholesale Meats, Inc. ",350 South Pekin Road,Woodland,WA,98674,Cattle,M6423,Canada
"Schenk Packing Co, Inc.",8204 288th Street Northwest,Stanwood,WA,98292,Cattle,M6056,Canada
"Washington Beef Producers (Agri-Beef, AB Foods, LLC)",201 Elmwood Road,Toppenish,WA,98948,Cattle,M235,Canada
Conrath Quality Meats,N2559 Market Road,Conrath,WI,54731,Bison Elk,M40326 (122-WI),Canada
